epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.849,0.80404,0.58648,1.28783,0.88601,0.83409,0.87765,0.54854,1.45147,0.7386,2.10247,0.000474863,0.000474863,0.000474863
2,246.788,0.81234,0.58445,1.28998,0.93919,0.83191,0.90016,0.54822,1.49212,0.76091,2.11318,0.000919807,0.000919807,0.000919807
3,348.511,0.82589,0.60133,1.29673,0.88034,0.86967,0.89721,0.54846,1.47368,0.70276,2.11006,0.00133331,0.00133331,0.00133331
4,447.602,0.82521,0.60348,1.29073,0.92671,0.83789,0.87949,0.54472,1.49463,0.73227,2.12139,0.00128753,0.00128753,0.00128753
5,547.895,0.8145,0.59558,1.28518,0.9053,0.84783,0.88511,0.5455,1.4683,0.76486,2.16513,0.00124037,0.00124037,0.00124037
6,647.924,0.82481,0.5879,1.29087,0.89992,0.8401,0.87715,0.54487,1.4269,0.77403,2.09074,0.00119322,0.00119322,0.00119322
7,751.836,0.80272,0.59539,1.27914,0.8738,0.86168,0.87393,0.53161,1.47577,0.7784,2.16586,0.00114606,0.00114606,0.00114606
8,855.365,0.81157,0.58977,1.28539,0.89599,0.85237,0.88429,0.54611,1.48612,0.74576,2.14097,0.0010989,0.0010989,0.0010989
9,959.667,0.80344,0.58475,1.27792,0.87369,0.85696,0.87653,0.53028,1.48677,0.81731,2.12004,0.00105174,0.00105174,0.00105174
10,1062.39,0.79072,0.56545,1.27157,0.90284,0.83646,0.86416,0.53321,1.50577,0.78191,2.1943,0.00100459,0.00100459,0.00100459
11,1165.34,0.79037,0.56398,1.2711,0.90861,0.84736,0.87089,0.53068,1.52416,0.77231,2.1871,0.00095743,0.00095743,0.00095743
12,1268.04,0.77788,0.56319,1.26881,0.91033,0.84765,0.8716,0.52575,1.5038,0.77191,2.23739,0.000910273,0.000910273,0.000910273
13,1372.14,0.78044,0.56044,1.2694,0.91097,0.84284,0.8665,0.53473,1.46879,0.73493,2.18143,0.000863116,0.000863116,0.000863116
14,1474.08,0.77391,0.55341,1.25814,0.9095,0.83951,0.87269,0.53283,1.4773,0.75446,2.16715,0.000815959,0.000815959,0.000815959
15,1578.45,0.781,0.55055,1.26136,0.92396,0.83694,0.87186,0.5345,1.47894,0.71798,2.15871,0.000768802,0.000768802,0.000768802
16,1681.98,0.76293,0.54263,1.2487,0.89659,0.84346,0.8817,0.53271,1.48455,0.73191,2.17308,0.000721645,0.000721645,0.000721645
17,1784.93,0.75328,0.53704,1.24704,0.9081,0.84206,0.8783,0.53473,1.51367,0.77245,2.2492,0.000674488,0.000674488,0.000674488
18,1888.11,0.75795,0.54236,1.24886,0.90117,0.84497,0.87242,0.52781,1.49746,0.7548,2.19272,0.000627331,0.000627331,0.000627331
19,1991.92,0.75278,0.53937,1.24672,0.89955,0.84166,0.86836,0.53626,1.47921,0.75866,2.20647,0.000580174,0.000580174,0.000580174
20,2096.14,0.74754,0.52743,1.23534,0.90273,0.86262,0.8881,0.53295,1.50235,0.7546,2.25163,0.000533017,0.000533017,0.000533017
21,2195.15,0.68452,0.34757,1.25242,0.90597,0.83409,0.87091,0.52902,1.54328,0.73686,2.33767,0.00048586,0.00048586,0.00048586
22,2293.2,0.67274,0.33035,1.2492,0.91775,0.85124,0.88746,0.53784,1.49422,0.75031,2.34194,0.000438703,0.000438703,0.000438703
23,2389.68,0.66434,0.3201,1.25127,0.91116,0.82179,0.87232,0.53086,1.52549,0.77372,2.33855,0.000391546,0.000391546,0.000391546
24,2486.87,0.65156,0.31879,1.23305,0.88733,0.83375,0.86864,0.53139,1.51363,0.77922,2.30933,0.000344389,0.000344389,0.000344389
25,2582.38,0.64245,0.31019,1.22337,0.91451,0.83309,0.87236,0.53188,1.53677,0.75287,2.36547,0.000297232,0.000297232,0.000297232
26,2678.75,0.63225,0.30268,1.2102,0.91313,0.84014,0.88258,0.54183,1.50955,0.78798,2.32813,0.000250075,0.000250075,0.000250075
27,2775.09,0.62738,0.30234,1.20953,0.91698,0.84014,0.87661,0.5318,1.50594,0.76185,2.35098,0.000202918,0.000202918,0.000202918
28,2869.67,0.61093,0.29319,1.19963,0.91682,0.84026,0.87929,0.54028,1.50583,0.7957,2.36212,0.000155761,0.000155761,0.000155761
29,2967.38,0.61538,0.29488,1.19876,0.9178,0.83941,0.87825,0.53684,1.51699,0.78929,2.36349,0.000108604,0.000108604,0.000108604
30,3065.37,0.60639,0.28733,1.19094,0.91314,0.84415,0.88446,0.54053,1.49995,0.77193,2.34533,6.1447e-05,6.1447e-05,6.1447e-05
